exp_name,ckpt,readout,pooling,task,pr_auc_v1,pr_auc_untrained_v1,gap_v1,n_test_pos_v1,base_rate_v1,pr_auc_v2,pr_auc_untrained_v2,gap_v2,n_test_pos_v2,base_rate_v2,delta_pr_auc,delta_gap,delta_n_test_pos
exp03_fb0p02_b0p1_lpsd,best,mlp,quantile,eb,0.6916668449317367,0.6903264519718817,0.0013403929598549,196,0.0969816922315685,0.7164862273634306,0.696092599953435,0.0203936274099956,189,0.0935180603661553,0.024819382431693904,0.0190532344501407,-7
exp03_fb0p1_b1p0_none,best_recon_aux,mlp,window_score,eb,0.7487073152864361,0.6789522251691357,0.0697550901173004,196,0.0969816922315685,0.7716260471297467,0.6895776480484126,0.0820483990813341,189,0.0935180603661553,0.022918731843310614,0.012293308964033703,-7
exp03_fb0p1_b0p3_comb,best,gbm,mean,eb,0.7202328206238483,0.7314949660210456,-0.0112621453971972,196,0.0969816922315685,0.7428172870345112,0.7215409961290331,0.0212762909054781,189,0.0935180603661553,0.022584466410662918,0.0325384363026753,-7
exp03_fb0_b0p3_lpsd,best,gbm,quantile,eb,0.7409426512396695,0.7303331510105068,0.0106095002291627,196,0.0969816922315685,0.7629399413759913,0.7330848949460695,0.0298550464299217,189,0.0935180603661553,0.02199729013632179,0.019245546200759,-7
exp03_fb0p1_b0p1_lpsd,best,gbm,mean,eb,0.722070769956663,0.7314949660210456,-0.0094241960643826,196,0.0969816922315685,0.7425559488154742,0.7215409961290331,0.021014952686441,189,0.0935180603661553,0.02048517885881118,0.0304391487508236,-7
exp03_fb0_b0p3_comb,best_recon_aux,gbm,mean,eb,0.7687905061504989,0.7314949660210456,0.0372955401294533,196,0.0969816922315685,0.7890610760107283,0.7215409961290331,0.0675200798816951,189,0.0935180603661553,0.020270569860229348,0.030224539752241805,-7
exp03_fb0p02_b1p0_lpsd,best,gbm,max,eb,0.7800588656085904,0.7648959875211593,0.0151628780874311,196,0.0969816922315685,0.7999507864771984,0.7778161368178547,0.0221346496593437,189,0.0935180603661553,0.019891920868608026,0.0069717715719126005,-7
exp03_fb0p05_b0p3_lpsd,best_recon_aux,mlp,mean,eb,0.7475385588031369,0.6964033407428439,0.0511352180602929,196,0.0969816922315685,0.7663482273230475,0.7023350455142886,0.0640131818087589,189,0.0935180603661553,0.018809668519910616,0.012877963748465997,-7
exp03_fb0_b0p3_lpsd,best,mlp,window_score,eb,0.7347111800665759,0.6789522251691357,0.0557589548974402,196,0.0969816922315685,0.7521484184968431,0.6895776480484126,0.0625707704484305,189,0.0935180603661553,0.017437238430267232,0.006811815550990301,-7
exp03_fb0_b0p3_lpsd,best,mlp,quantile,eb,0.6759571567533728,0.6903264519718817,-0.0143692952185089,196,0.0969816922315685,0.6933896035764024,0.696092599953435,-0.0027029963770325,189,0.0935180603661553,0.01743244682302969,0.0116662988414764,-7
