exp_name,readout,task,pr_auc_mean,pr_auc_untrained,gap_mean,gap_sd,n_seeds,gap_se,mean_over_2se
exp04_enc_whalf,logistic,pulsating,0.75202,0.749105,0.002914,0.019741,2,0.013959,False
exp04_enc_k9,logistic,pulsating,0.771992,0.775504,-0.003512,0.00754,2,0.005331,False
exp04_fb0p01_b0p1_lpsd,logistic,pulsating,0.757928,0.767484,-0.009556,0.002968,2,0.002099,False
exp04_fb0p04_b0p1_lpsd,logistic,pulsating,0.75617,0.767484,-0.011314,,1,,False
exp04_enc_z32,logistic,pulsating,0.709606,0.74043,-0.030824,0.009515,3,0.005493,False
exp04_fb0p01_b0p2_lpsd,logistic,pulsating,0.734891,0.767484,-0.032592,,1,,False
exp04_enc_d3,logistic,pulsating,0.768947,0.803519,-0.034572,0.003484,2,0.002463,False
exp04_enc_d5,logistic,pulsating,0.766776,0.829922,-0.063146,0.030106,2,0.021288,False
exp03_fb0_b0p1_comb,gbm,rotation,0.570352,0.506413,0.063939,0.009772,3,0.005642,True
exp04_enc_d5,gbm,rotation,0.536432,0.501171,0.035261,0.013477,2,0.009529,True
exp04_fb0p01_b0p05_lpsd,gbm,rotation,0.529573,0.506413,0.02316,0.002945,2,0.002082,True
exp03_fb0p05_b0p3_lpsd,gbm,rotation,0.529351,0.506413,0.022938,0.014028,3,0.008099,True
exp04_enc_k9,gbm,rotation,0.523138,0.50115,0.021989,0.028826,2,0.020383,False
exp04_enc_w2x,gbm,rotation,0.523427,0.505839,0.017587,0.036038,2,0.025483,False
exp04_fb0p04_b0p05_lpsd,gbm,rotation,0.522446,0.506413,0.016033,,1,,False
exp04_fb0p02_b0p05_lpsd,gbm,rotation,0.516314,0.506413,0.009901,0.016357,2,0.011566,False
exp04_fb0p04_b0p2_lpsd,gbm,rotation,0.515137,0.506413,0.008724,,1,,False
exp03_fb0p02_b0p1_lpsd,gbm,rotation,0.507983,0.506413,0.00157,0.022855,3,0.013195,False
exp04_fb0p04_b0p1_lpsd,gbm,rotation,0.505089,0.506413,-0.001324,,1,,False
exp04_fb0p01_b0p1_lpsd,gbm,rotation,0.504206,0.506413,-0.002207,0.041433,2,0.029298,False
exp04_fb0p01_b0p2_lpsd,gbm,rotation,0.491049,0.506413,-0.015364,,1,,False
exp04_fb0p02_b0p2_lpsd,gbm,rotation,0.489732,0.506413,-0.016681,0.017191,2,0.012156,False
exp04_enc_k15,gbm,rotation,0.4896,0.510671,-0.021071,0.023758,2,0.0168,False
exp04_enc_z64,gbm,rotation,0.50867,0.531164,-0.022494,0.039393,3,0.022743,False
exp04_winner_ep100,gbm,rotation,0.482525,0.506413,-0.023888,,1,,False
exp04_enc_z32,gbm,rotation,0.473568,0.507474,-0.033906,0.011074,3,0.006394,False
exp04_enc_z64k9,gbm,rotation,0.481033,0.5153,-0.034267,0.023562,2,0.016661,False
exp04_enc_d3,gbm,rotation,0.438368,0.490007,-0.051639,0.014535,2,0.010278,False
exp04_enc_whalf,gbm,rotation,0.469343,0.529118,-0.059776,0.002314,2,0.001636,False
exp04_enc_d3,logistic,rotation,0.542946,0.480969,0.061977,0.010688,2,0.007558,True
exp04_enc_d5,logistic,rotation,0.584402,0.53301,0.051391,0.003869,2,0.002736,True
exp04_fb0p04_b0p05_lpsd,logistic,rotation,0.580547,0.531736,0.048811,,1,,False
exp04_fb0p04_b0p2_lpsd,logistic,rotation,0.578414,0.531736,0.046679,,1,,False
exp04_fb0p04_b0p1_lpsd,logistic,rotation,0.574319,0.531736,0.042583,,1,,False
exp04_fb0p02_b0p05_lpsd,logistic,rotation,0.573897,0.531736,0.042161,0.015713,2,0.011111,True
exp03_fb0p05_b0p3_lpsd,logistic,rotation,0.571282,0.531736,0.039547,0.013714,3,0.007918,True
exp04_enc_w2x,logistic,rotation,0.581469,0.549202,0.032267,0.004622,2,0.003268,True
exp04_enc_z64,logistic,rotation,0.55808,0.530304,0.027776,0.012698,3,0.007331,True
exp03_fb0p02_b0p1_lpsd,logistic,rotation,0.558723,0.531736,0.026987,0.003445,3,0.001989,True
exp04_fb0p02_b0p2_lpsd,logistic,rotation,0.554494,0.531736,0.022759,0.024027,2,0.01699,False
exp04_enc_k9,logistic,rotation,0.570373,0.550001,0.020372,0.006194,2,0.00438,True
exp04_winner_ep100,logistic,rotation,0.549469,0.531736,0.017733,,1,,False
exp03_fb0_b0p1_comb,logistic,rotation,0.548915,0.531736,0.01718,0.001517,3,0.000876,True
exp04_enc_whalf,logistic,rotation,0.560866,0.546586,0.014281,0.004682,2,0.003311,True
exp04_fb0p01_b0p1_lpsd,logistic,rotation,0.537489,0.531736,0.005753,0.029776,2,0.021055,False
exp04_enc_z32,logistic,rotation,0.517541,0.511916,0.005625,0.016602,3,0.009585,False
exp04_enc_k15,logistic,rotation,0.542447,0.536824,0.005623,0.016796,2,0.011876,False
exp04_fb0p01_b0p2_lpsd,logistic,rotation,0.535805,0.531736,0.004069,,1,,False
exp04_fb0p01_b0p05_lpsd,logistic,rotation,0.531775,0.531736,4e-05,0.000394,2,0.000279,False
exp04_enc_z64k9,logistic,rotation,0.527367,0.548974,-0.021607,0.016283,2,0.011514,False
exp03_fb0p02_b0p1_lpsd,gbm,transit,0.208516,0.132107,0.076408,0.011262,3,0.006502,True
exp04_fb0p04_b0p1_lpsd,gbm,transit,0.19672,0.132107,0.064613,,1,,False
exp04_fb0p01_b0p1_lpsd,gbm,transit,0.187442,0.132107,0.055335,0.020739,2,0.014665,True
exp04_enc_k15,gbm,transit,0.187785,0.134405,0.05338,0.006356,2,0.004494,True
exp03_fb0_b0p1_comb,gbm,transit,0.185366,0.132107,0.053259,0.014866,3,0.008583,True
exp04_fb0p04_b0p05_lpsd,gbm,transit,0.184674,0.132107,0.052566,,1,,False
exp04_winner_ep100,gbm,transit,0.184065,0.132107,0.051958,,1,,False
exp04_fb0p04_b0p2_lpsd,gbm,transit,0.177739,0.132107,0.045632,,1,,False
exp04_enc_w2x,gbm,transit,0.190791,0.150236,0.040555,0.00343,2,0.002425,True
exp04_enc_d3,gbm,transit,0.180956,0.143865,0.037091,0.024337,2,0.017209,True
exp04_fb0p01_b0p2_lpsd,gbm,transit,0.168693,0.132107,0.036586,,1,,False
exp04_fb0p01_b0p05_lpsd,gbm,transit,0.168689,0.132107,0.036581,0.002614,2,0.001848,True
exp04_fb0p02_b0p2_lpsd,gbm,transit,0.166534,0.132107,0.034427,0.023415,2,0.016557,True
exp03_fb0p05_b0p3_lpsd,gbm,transit,0.165269,0.132107,0.033161,0.028032,3,0.016184,True
exp04_enc_z64k9,gbm,transit,0.194467,0.162296,0.032171,0.008443,2,0.00597,True
exp04_enc_k9,gbm,transit,0.189238,0.16151,0.027728,0.018323,2,0.012956,True
